Florist's Calla	Zantedeschia aethiopica	1
Foxglove	Digitalis purpurea	1
Foxtail	Acalypha hispida	1
Franciscan Rain Tree	Brunfelsia species	1
Garden Calla	Zantedeschia aethiopica	1
Garden Chamomile	Anthemis nobilis	1
Garden Hyacinth	Hyacinthus orientalis	1
Gardenia	Gardenia jasminoides	1
Garlic	Allium sativum	1
Geranium	Pelargonium species	1
Geranium-Leaf Aralia	Polyscias guilfoylei	1
Giant Dracaena	Cordyline australis	1
Giant Dumb Cane	Dieffenbachia amoena	1
Giant Hogweed	Heracleum maximum	1
Glacier Ivy	Hedera helix	1
Gladiola	Gladiolus species	1
Gloriosa Lily	Gloriosa superba	1
Gold Dieffenbachia	Dieffenbachia picta	1
Gold Dust Dracaena	Dracaena surculosa	1
Golden Birds Nest	Sansevieria trifasciata	1
Golden Pothos	Epipremnum aureum	1
Golden Ragwort	Senecio species	1
Good Luck Plant	Oxalis spp.	1
Grapefruit	Citrus paradisii	1
Grass Palm	Cordyline australis	1
Greater Ammi	Ammi majus	1
Green Gold Naphthysis	Syngonium podophyllum	1
Ground Apple	Anthemis nobilis	1
Groundsel	Senecio species	1
Hahn's Self Branching English Ivy	Hedera helix	1
Hashish	Cannabis sativa	1
Hawaiian Ti	Giant Dracaena	1
Heartleaf Philodendron	Philodendron hederaceum	1
Heavenly Bamboo	Nandina domestica	1
Hellebore	Helleborus niger	1
Hercules' Club	Aralia spinosa	1
Hills of Snow	Hydrangea arborescens	1
Holly	Ilex opaca	1
Horse Chestnut	Aesculus glabra	1
Horsehead Philodendron	Philodendron bipennifolium	1
Horseweed	Erigeron speciosus	1
Hortensia	Hydrangea arborescens	1
Hosta	Hosta plataginea	1
Hurricane Plant	Monstera deliciosa	1
Hyacinth	Hyacinthus orientalis	1
Hydrangea	Hydrangea arborescens	1
Impala Lily	Adenium obesum	1
Inch Plant	Tradescantia flumeninsis	1
Indian Apple	Podophyllum peltatum	1
Indian Borage	Coleus ampoinicus	1
Indian Hemp	Apocynum androsaemifolium	1
Indian Hemp	Cannabis sativa	1
Indian Pink	Lobelia cardinalis	1
Indian Rubber Plant	Ficus benjamina	1
Inkberry	Ilex opaca	1
Iris	Iris species	1
Iron Cross Begonia	Begonia masoniana	1
Ivy Arum	Epipremnum aureum	1
Jack-in-the-pulpit	Arisaema triphyllum	1
Jade Plant	Crassula argentea	1
Japanese Show Lily	Lilium speciosum	1
Japanese Yew	Taxus sp.	1
Jerusalem Cherry	Solanum pseudocapsicum	1
Jerusalem Oak	Ambrosia mexicana	1
Jonquil	Narcissus jonquilla	1
Kaffir Lily	Clivia minata	1
Kalanchoe	Kalanchoe spp	1
Kiss-me-quick	Brunfelsia species	1
Klamath Weed	Hypericum perforatum	1
Kudu Lily	Adenium obesum	1
Lace Fern	Asparagus densiflorus cv sprengeri	1
Lacy Tree Philodendron	Philodendron selloum	1
Lady-of-the-night	Brunfelsia species	1
Lambkill	Kalmia augustifolia	1
Lantana	Lantana camara	1
Larkspur	Delphinium species	1
Laurel	Kalmia latifolia	1
Lavender	Lavendula angustifolia	1
Leatherflower	Clematis sp.	1
Leek	Allium ampeloprasum	1
Lemon	Citrus limonia	1
Lemon Grass	Cymbopogon citratus	1
Lemon Verbena	Aloysia triphylla	1
Lenten Rose	Helleborus niger	1
Lily	Lilium species	1
Lily of the Palace	Hippeastrum spp.	1
Lily of the Valley	Convallaria majalis	1
Lily-of-the-Valley Bush	Pieris japonica	1
Lime	Citrus aurantifolia	1
Lobelia	Lobelia cardinalis	1
Locust	Robinia spp.	1
Lord-and-Ladies	Arum maculatum	1
Lovage	Levisticum officinale	1
Madagascar Dragon Tree	Dracaena marginata	1
Malanga	Colocasia esculenta	1
Malaysian Dracaena	Dracaena reflexa	1
Maleberry	Lyonia sp.	1
Mapleleaf Begonia	Begonia cleopatra	1
Marble Queen	Scindapsus aureus	1
Marijuana	Cannabis sativa	1
Marjoram	Origanum majorana	1
Mauna Loa Peace Lily	Spathiphyllum	1
Mayapple	Podophyllum peltatum	1
Mayweed	Anthemis cotula	1
Meadow Saffron	Colchicum autumnale	1
Metallic Leaf Begonia	Begonia metallica	1
Mexican Breadfruit	Monstera deliciosa	1
Milfoil	Achillea millefolium	1
Milkweed	Asclepias species	1
Mint	Mentha sp.	1
Mistletoe "American"	Phoradendron flavescens	1
Mock Azalea	Adenium obesum	1
Mole Bean Plant	Ricinus communis	1
Morning Glory	Ipomoea spp	1
Morning-Noon-and-Night	Brunfelsia species	1
Moss Rose	Portulaca oleracea	1
Mother of Millions	Kalanchoe tubiflora	1
Mother-in-Law	Monstera deliciosa	1
Mother-In-Law Plant	Kalanchoe tubiflora	1
Mother-in-Law's Tongue	Sansevieria trifasciata	1
Mum	Chrysanthemum spp.	1
Naked Lady	Amaryllis spp.	1
Nandina	Nandina domestica	1
Narcissus	Narcissus spp	1
Nasturtium	Nasturtium officinale	1
Needlepoint Ivy	Hedera helix	1
Nephthytis	Syngonium podophyllum	1
Nicotiana	Nicotiana glauca	1
Nightshade	Solanum spp	1
Octopus Tree	Schefflera or Brassia actinoplylla	1
Oilcloth Flower	Anthurium scherzeranum	1
Oleander	Nerium oleander	1
Onion	Allium cepa	1
Orange	Citrus sinensis	1
Orange Day Lily	Hemerocallis graminea	1
Oregano	Origanum vulgare hirtum	1
Oregon Holly	Ilex opaca	1
Ornamental Pepper	Solanum pseudocapsicum	1
Pacific Yew	Taxus brevifolia	1
Painter's Pallette	Anthurium scherzeranum	1
Palm Lily	Cordyline australis	1
Panda Plant	Philodendron bipennifolium	1
Paper White	Narcissus spp	1
Paraguayan Jasmine	Brunfelsia species	1
Parsley	Petroselinum crispum	1
Peace Begonia	Begonia rex 'peace'	1
Peace Lily	Spathiphyllum	1
Peach	Prunus persica	1
Peacock Flower	Caesalpinia pulcherrima	1
Pencil Cactus	Euphorbia tirucalli	1
Peony	Paeonis officinalis	1
Periwinkle	Vinca rosea	1
Philodendron Pertusum	Philodendron spp	1
Pie Plant	Rheum rhabarbarium	1
Pieris	Pieris japonica	1
Pig Lily	Zantedeschia aethiopica	1
Pigtail Plant	Anthurium scherzeranum	1
Pink Pearl	Begonia semperflorens cultivar	1
Pinks	Dianthus caryophyllus	1
Plantain Lily	Hosta plantaginea	1
Plum	Prunus domestica	1
Plumosa Fern	Asparagus densiflorus cv sprengeri	1
Poinciana	Caesalpinia gilliessi	1
Poinsettia	Euphorbia pulcherrima	1
Poison Daisy	Anthemis cotula	1
Poison Hemlock	Conium maculatum	1
Poison Parsnip	Cicuta maculata	1
Portulaca	Portulaca oleracea	1
Pride-of-India	Melia azedarach	1
